SYSTEMSTOP,STREET,CROSS_ST,DIR,POS,ROUTESSTPG,OWLROUTES,CITY,PUBLIC_NAM,CENSUS_TRACT
14011.0,95TH STREET,RED LINE STATION,NB,TERM,"34,119",,CHICAGO,95th Red Line Station,17031490200
2149.0,KING DRIVE,53RD STREET,NB,NT,3,,CHICAGO,King Drive & 53rd Street,17031400300
11914.0,CALIFORNIA,MORSE,NB,NS,93,,CHICAGO,California & Morse,17031020300
10439.0,SKOKIE BLVD,SEARLE,NB,NT,54A,,SKOKIE,Skokie Blvd & Searle,
3563.0,BRONX,DEMPSTER,NB,FS,"54A,97",,SKOKIE,Bronx & Dempster,
2517.0,COTTAGE GROVE,41ST STREET (north leg),NB,NS,4,N4,CHICAGO,Cottage Grove & 41st Street,17031360500
6608.0,ORLEANS,HILL,SB,NS,37,,CHICAGO,Orleans & Hill,17031080800
10036.0,KEDZIE,93RD STREET,SB,NS,52A,,EVERGREEN PARK,Kedzie & 93rd Street,
7320.0,BALTIMORE,132ND STREET,SB,NS,30,,CHICAGO,Baltimore & 132nd Street,17031550100
11526.0,CENTRAL,CULLOM,SB,NS,85,,CHICAGO,Central & Cullom,17031150400
11190.0,CENTRAL PARK,15TH STREET,SB,NS,82,,CHICAGO,Central Park & 15th Street,17031291100
73.0,MICHIGAN,betw. VAN BUREN & IDA B. WELLS,SB,MB,"1,3,4,X4,7,J14,26,28,126,143,147",N4,CHICAGO,Michigan & Van Buren/Ida B. Wells,17031320400
11153.0,KIMBALL,CORTLAND,SB,NS,82,,CHICAGO,Kimball & Cortland,17031222700
